"","author","title"
"15045","Abbett WP","GENERATION OF ELECTRIC CURRENTS IN THE CHROMOSPHERE VIA NEUTRAL-ION DRAG"
"15046","Abbott B","Dependence of the t(t)over-bar production cross section on the transverse momentum of the top quark"
"15047","Abbott B","Measurement of the normalized Z/gamma* -> mu(+)mu(-) transverse momentum distribution in p(p)over-bar collisions at root s=1.96 TeV"
"15048","Abbott B","Measurement of the dijet invariant mass cross section in p(p)over-bar collisions at root s=1.96 TeV"
"15049","Abbott B","Search for the rare decay B-s(0) -> mu(+)mu(-)"
"15050","Abbott B","Search for Sneutrino Production in e mu Final States in 5.3 fb(-1) of p(p)over-bar Collisions at root s = 1.96 TeV"
"15051","Abbott BP","Search for gravitational waves from compact binary coalescence in LIGO and Virgo data from S5 and VSR1"
"15052","Abbott R","Search for gravitational waves from compact binary coalescence in LIGO and Virgo data from S5 and VSR1"
"15053","Abbott B","Measurement of t(t)over-bar production in the tau plus jets topology using p(p)over-bar collisions root s=1.96 TeV"
"15054","Abbott B","Search for flavor changing neutral currents via quark-gluon couplings in single top quark production using 2.3 fb(-1) of p(p)over-bar collisions"
"15055","Abbott B","Search for scalar bottom quarks and third-generation leptoquarks in p(p)over-bar collisions at root s=1.96 TeV"
"15056","Abbott B","Search for New Particles in Two-Jet Final States in 7 TeV Proton-Proton Collisions with the ATLAS Detector at the LHC"
"15057","Abate L","Polymorphisms in Anopheles gambiae Immune Genes Associated with Natural Resistance to Plasmodium falciparum"
"15058","Abetz L","PRO development: rigorous qualitative research as the crucial foundation"
"15059","Abbott D","Genetic Association of Insulin-like Growth Factor-1 Polymorphisms with High-Grade Myopia in an International Family Cohort"
"15060","Abata E","Study of energy response and resolution of the ATLAS barrel calorimeter to hadrons of energies from 20 to 350 GeV"
"15061","Abbott B","Evidence for an Anomalous Like-Sign Dimuon Charge Asymmetry"
"15062","Abbott B","Evidence for an anomalous like-sign dimuon charge asymmetry"
"15063","Abbott B","Measurement of the t(t)over-bar cross section using high-multiplicity jet events"
"15064","Abbott D","Modelling of sub-wavelength THz sources as Gaussian apertures"
"15065","Abetz-Webb L","An instrument assessing satisfaction with iron chelation therapy: Psychometric testing from an open-label clinical trial"
"15066","Abbott B","b-Jet identification in the D0 experiment"
"15067","About I","Influence of acid etching on hydrogen peroxide diffusion through human dentin"
"15068","Abbate F","Impact of a 10 nm ultra-thin BOX (UTBOX) and ground plane on FDSOI devices for 32 nm node and below"
"15069","About I","Controlled Release Carriers of Growth Factors FGF-2 and TGF beta 1: Synthesis, Characterization and Kinetic Modelling"
"15070","Abbott B","Search for CP violation in B-s(0) -> mu(+) D-s(-) X decays in p(p)over-bar collisions at root s=1.96 TeV"
"15071","Abbott BP","Predictions for the rates of compact binary coalescences observable by ground-based gravitational-wave detectors"
"15072","Abbott R","Predictions for the rates of compact binary coalescences observable by ground-based gravitational-wave detectors"
"15073","Abbott DW","Signature Active Site Architectures Illuminate the Molecular Basis for Ligand Specificity in Family 35 Carbohydrate Binding Module"
"15074","Abbate I","A multicentre collaborative study on HIV drug resistance testing using 454 massively parallel pyrosequencing"
"15075","Abbott B","Combined Tevatron upper limit on gg -> H -> W+W- and constraints on the Higgs boson mass in fourth-generation fermion models"
"15076","About M","Carmustine and methotrexate in combination after whole brain radiation therapy in breast cancer patients presenting with brain metastases: a retrospective study"
"15077","Abbott B","Measurement of direct photon pair production cross sections in p(p)over-bar collisions at root s=1.96 TeV"
"15078","Abbate V","Incorporation of 2,3-Diaminopropionic Acid into Linear Cationic Amphipathic Peptides Produces pH-Sensitive Vectors"
"15079","Abbott B","Search for single top quarks in the tau plus jets channel using 4.8 fb(-1) of p(p)over-bar collision data"
"15080","Abbott B","Search for Randall-Sundrum Gravitons in the Dielectron and Diphoton Final States with 5.4 fb(-1) of Data from p(p)over-bar Collisions at root s=1.96 TeV"
"15081","About I","PAR-2 Regulates Dental Pulp Inflammation Associated with Caries"
"15082","Abbot M","TD2 and physical activity: Continuing a year of profits of a management supervised by physical activity."
"15083","Abbott BP","All-sky search for gravitational-wave bursts in the first joint LIGO-GEO-Virgo run"
"15084","Abbott R","All-sky search for gravitational-wave bursts in the first joint LIGO-GEO-Virgo run"
"15085","Abbott RD","Longitudinal Relationships of Levels of Language in Writing and Between Writing and Reading in Grades 1 to 7"
"15086","Abbott BP","SEARCH FOR GRAVITATIONAL-WAVE BURSTS ASSOCIATED WITH GAMMA-RAY BURSTS USING DATA FROM LIGO SCIENCE RUN 5 AND VIRGO SCIENCE RUN 1"
"15087","Abbott R","SEARCH FOR GRAVITATIONAL-WAVE BURSTS ASSOCIATED WITH GAMMA-RAY BURSTS USING DATA FROM LIGO SCIENCE RUN 5 AND VIRGO SCIENCE RUN 1"
"15088","Abbott BP","SEARCH FOR GRAVITATIONAL-WAVE INSPIRAL SIGNALS ASSOCIATED WITH SHORT GAMMA-RAY BURSTS DURING LIGO'S FIFTH AND VIRGO'S FIRST SCIENCE RUN"
"15089","Abbott R","SEARCH FOR GRAVITATIONAL-WAVE INSPIRAL SIGNALS ASSOCIATED WITH SHORT GAMMA-RAY BURSTS DURING LIGO'S FIFTH AND VIRGO'S FIRST SCIENCE RUN"
"15090","Abbott KM","Opposites attract: MHC and mate choice in mandrills."
"15091","Abut H","Insecticide resistance in Culex pipiens quinquefasciatus and Aedes albopictus mosquitoes from La Reunion Island"
"15092","Abbott B","Search for the Associated Production of a b Quark and a Neutral Supersymmetric Higgs Boson that Decays into tau Pairs"
"15093","Abbott D","Low noise spinning wheel technique for THz material parameter extraction"
"15094","Abbott B","Double parton interactions in gamma+3 jet events in p(p)over-bar collisions at root s=1.96 TeV"
"15095","Abbott AG","Quantitative trait analysis of resistance to plum pox virus in the apricot F1 progeny ""Harlayne"" x ""Vestar"""
"15096","About I","Effect of Dual Cure Composite as Dentin Substitute on the Marginal Integrity of Class II Open-Sandwich Restorations"
"15097","Abbott BP","SEARCHES FOR GRAVITATIONAL WAVES FROM KNOWN PULSARS WITH SCIENCE RUN 5 LIGO DATA"
"15098","Abbott R","SEARCHES FOR GRAVITATIONAL WAVES FROM KNOWN PULSARS WITH SCIENCE RUN 5 LIGO DATA"
"15099","Abate AR","Ultrahigh-throughput screening in drop-based microfluidics for directed evolution"
"15100","Abbott D","Synaptic signal transduction aided by noise in a dynamical saturating model"
"15101","About-Jaudet E","Novel cationic and amphiphilic pullulan derivatives II: pH dependant physicochemical properties"
"15102","Abbott B","Search for the Standard Model Higgs Boson in the ZH -> v(v)over-barb(b)over-bar Channel in 5.2 fb(-1) of p(p)over-bar Collisions at root s=1.96 TeV"
"15103","Abbott B","Search for a Resonance Decaying into WZ Boson Pairs in p(p)over-bar Collisions"
"15104","Abbott B","Combination of Tevatron Searches for the Standard Model Higgs Boson in the W+W- Decay Mode"
"15105","Abbott B","Search for Higgs Boson Production in Dilepton and Missing Energy Final States with 5.4 fb(-1) of p(p)over-bar Collisions at root s=1.96 TeV"
"15106","Abbott B","Measurement of the t-channel single top quark production cross section"
"15107","Abbott B","Measurement of Z/gamma* plus jet plus X angular distributions in p(p)over-bar collisions at root s=1.96 TeV"
"15108","About I","Biological properties of a neutralized 2.5% sodium hypochlorite solution"
"15109","Abbott KM","Opposites attract: MHC-associated mate choice in a polygynous primate"
"15110","About-Jaudet E","Novel cationic and amphiphilic pullulan derivatives I: Synthesis and characterization"
"15111","Abbott B","Measurement of the p(p)over-bar -> WZ+X cross section at root s=1.96 TeV and limits on WWZ trilinear gauge couplings"
"15112","Abbott A","Lymphatic vessel density and function in experimental bladder cancer"
"15113","Abbott B","Search for production of single top quarks via tcg and tug flavor-changing-neutral-current couplings"
"15114","Abbott B","Search for a Higgs boson produced in association with a Z boson in p(p)over-bar collisions"
"15115","Abbott B","Measurement of the Lambda(0)(b) lifetime using semileptonic decays"
"15116","Abbott RP","Experience with conversion of cad to monte carlo particle transport models"
"15117","Abbott B","Search for B(s)(0)->mu(+)mu(-) decays at D0"
"15118","Abbott B","Measurement of the t(t)over-bar production cross section in p(p)over-bar collisions at root s=1.96 TeV using kinematic characteristics of lepton plus jets events"
"15119","Abbott B","Properties of l=1 B-1 and B*(2) Mesons"
"15120","Abbott B","Measurement of the top quark mass in the dilepton channel"
"15121","Abbate A","Meta-analysis appraising high Clopidogrel loading in patients undergoing percutaneous coronary interventiont"
"15122","Abbott B","Measurement of the Lambda(b) lifetime in the exclusive decay Lambda(b)-> J/psi Lambda"
"15123","Abbott B","Measurement of the p(p)over-bar -> t(t)over-bar + X production cross section at root s=1.96 TeV in the fully hadronic decay channel"
"15124","Abbott B","Search for stopped gluinos from p(p)over-bar collisions at root s=1.96 TeV"
"15125","Abbott B","Z gamma production and limits on anomalous ZZ gamma and Z gamma gamma couplings in pp collisions at root s=1.96 TeV"
"15126","Abbott K","Discussion on: ""Design of low order robust controllers for a VSCHVDC power plant terminal"""
"15127","About-Jaudet E","Synthesis and physicochemical characterization of a novel ampholytic pullulan derivative with amphiphilic behavior in alkaline media"
"15128","Abbott B","Measurement of the t(t)over-bar production cross section in p(p)over-bar collisions using dilepton events"
"15129","Abbott B","Combined D0 measurements constraining the CP-violating phase and width difference in the B-s(0) system"
"15130","Abbott B","Search for third-generation scalar leptoquarks in p(p)over-bar collisions at root s=1.96 TeV"
"15131","Abbet S","Cluster chemistry: Size-dependent reactivity induced by reverse spill-over"
"15132","Abbott B","Direct observation of the strange b baryon Xi(-)(b)"
"15133","Abetz V","Thin film morphology in triblock terpolymers with one and two crystallizable blocks"
"15134","Abbott B","Measurement of the shape of the boson rapidity distribution for p(p)over-bar -> Z/gamma(*)-> e(+)e(-)+X events produced at root s of 1.96 TeV"
"15135","Abbott KC","Parathyroidectomy versus cinacalcet hydrochloride-based medical therapy in the management of hyperparathyroidism in ESRD: A cost utility analysis"
"15136","Abbott B","Search for techniparticles in e plus jets events at D0"
"15137","Abbott B","Evidence for production of single top quarks and first direct measurement of vertical bar V-tb vertical bar"
"15138","Abetz L","Prospective evaluation of patient-reported outcomes during treatment with deferasirox or deferoxamine for iron overload in patients with beta-thalassemia"
"15139","Abita T","Ewing sarcoma of the mesocolon"
"15140","Abbate M","Structural and functional characterization of (110)-oriented epitaxial La2/3Ca1/3MnO3 electrodes and SrTiO3 tunnel barriers"
"15141","Abatis D","Lupane triterpenoids from Acacia mellifera with cytotoxic activity"
"15142","Abbott D","Determination of the pion charge form factor for Q(2)=0.60-1.60 GeV2"
"15143","Abbott B","Measurement of the top quark mass in the lepton plus jets channel using the ideogram method"
"15144","Abbott B","Multivariate searches for single top quark production with the D0 detector"
"15145","Abbott B","Measurement of the charge asymmetry in semileptonic B-s(0) decays"
"15146","Abbott B","Search for single production of scalar leptoquarks in p(p)over-bar collisions decaying into muons and quarks with the D0 detector"
"15147","About I","Time-course diffusion of hydrogen peroxide through human dentin: Clinical significance for young tooth internal bleaching"
"15148","Abbott B","Lifetime difference and CP-violating phase in the B-s(0) system"
"15149","Abbott B","Search for the pair production of scalar top quarks in the acoplanar charm jet final state in p(p)over-bar collisions at root s=1.96 TeV"
"15150","Abaut AY","Oral bioavailability and intestinal secretion of amitriptyline: Role of P-glycoprotein?"
"15151","Abbott B","Measurement of the W boson helicity in top quark decays at D0"
"15152","Abbott B","Experimental discrimination between charge 2e/3 top quark and charge 4e/3 exotic quark production scenarios"
"15153","Abbate C","Studies on the response of soil microflora to the application of the fungicide fenhexamid"
"15154","About N","Synthesis, purification, and activity of salidroside"
"15155","Abbott B","Study of the decay B(s)(0)-> D(s)((*))D(s)((*))"
"15156","Abbott B","Search for the Standard Model Higgs Boson in the Missing Energy and Acoplanar b-Jet Topology at root s=1.96 TeV"
"15157","Abate L","GENETIC ASSOCIATION AND LINKAGE DISEQUILIBRIUM IN ANOPHELES GAMBIAE IMMUNE GENES"
"15158","Abbott B","Search for Anomalous Wtb Couplings in Single Top Quark Production"
"15159","Abbott B","Search for Neutral Higgs Bosons in Multi-b-Jet Events in pp Collisions at s=1.96 TeV"
"15160","Abbott B","Measurement of differential Z/gamma* plus jet plus X cross sections in p(p)over-bar collisions at root S=1.96 TeV"
